,MSE,R2
Linear Regression,0.0033919053764216362,0.2510800722959795
Decision Tree,0.007750369999999999,-0.7112524955524828
Random Forest,0.0036206522603333324,0.20057362215956742
Gradient Boosting,0.0036634781726966087,0.19111782206151162
Support Vector Regressor,0.003600661575858714,0.20498748997426441
